title | number of Violations found
 | b'Tem 05, 2025 7:10:50 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 7:10:50 \xd6S cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 05, 2025 7:10:50 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 05, 2025 7:10:50 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 05, 2025 7:10:50 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 05, 2025 7:10:50 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 05, 2025 7:10:50 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.Utility.split(Utility.java:204)\r\n\tat cli.rule.Utility.splitContiguousWords(Utility.java:163)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolationsFromPathSegments(VerbPhraseRule.java:139)\r\n\tat cli.rule.rules.VerbPhraseRule.lambda$getLstViolations$0(VerbPhraseRule.java:112)\r\n\tat cli.rule.rules.VerbPhraseRule$$Lambda/0x0000020faf3946a0.accept(Unknown Source)\r\n\tat java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:987)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolations(VerbPhraseRule.java:101)\r\n\tat cli.rule.rules.VerbPhraseRule.checkViolation(VerbPhraseRule.java:89)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
Amazon QLDB | https://api.apis.guru/v2/specs/amazonaws.com/qldb/2019-01-02/openapi.json
 | b'Tem 05, 2025 8:13:03 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 8:13:03 \xd6S cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 05, 2025 8:13:03 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 05, 2025 8:13:04 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 05, 2025 8:13:04 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 05, 2025 8:13:04 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 05, 2025 8:13:04 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3509)\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.Utility.split(Utility.java:204)\r\n\tat cli.rule.Utility.splitContiguousWords(Utility.java:163)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolationsFromPathSegments(VerbPhraseRule.java:139)\r\n\tat cli.rule.rules.VerbPhraseRule.lambda$getLstViolations$0(VerbPhraseRule.java:112)\r\n\tat cli.rule.rules.VerbPhraseRule$$Lambda/0x0000022501396448.accept(Unknown Source)\r\n\tat java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:987)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolations(VerbPhraseRule.java:101)\r\n\tat cli.rule.rules.VerbPhraseRule.checkViolation(VerbPhraseRule.java:89)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
U.S. EPA Enforcement and Compliance History Online (ECHO) - Detailed Facility Report (DFR) | https://api.apis.guru/v2/specs/epa.gov/dfr/0.0.0/swagger.json
 | b'Tem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 06, 2025 7:06:33 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.Utility.split(Utility.java:204)\r\n\tat cli.rule.Utility.splitContiguousWords(Utility.java:163)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolationsFromPathSegments(VerbPhraseRule.java:139)\r\n\tat cli.rule.rules.VerbPhraseRule.lambda$getLstViolations$0(VerbPhraseRule.java:112)\r\n\tat cli.rule.rules.VerbPhraseRule$$Lambda/0x00000197c43d5000.accept(Unknown Source)\r\n\tat java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:987)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolations(VerbPhraseRule.java:101)\r\n\tat cli.rule.rules.VerbPhraseRule.checkViolation(VerbPhraseRule.java:89)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
Geneea Natural Language Processing | https://api.apis.guru/v2/specs/geneea.com/1.0/swagger.json
 | b'Tem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 06, 2025 8:09:47 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nTem 06, 2025 8:09:49 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 6 of 19 is now checked:\r\nFile extensions should not be included in URIs\r\nTem 06, 2025 8:09:50 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 7 of 19 is now checked:\r\nGET and POST must not be used to tunnel other request methods\r\nTem 06, 2025 8:09:50 \xd6\xd6 cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 8 of 19 is now checked:\r\nCamelCase should be used for multi-word URI segments\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.rules.CamelCaseRule.split(CamelCaseRule.java:228)\r\n\tat cli.rule.rules.CamelCaseRule.splitContiguousWords(CamelCaseRule.java:202)\r\n\tat cli.rule.rules.CamelCaseRule.getLstViolationsFromPathSegments(CamelCaseRule.java:139)\r\n\tat cli.rule.rules.CamelCaseRule.getLstViolations(CamelCaseRule.java:94)\r\n\tat cli.rule.rules.CamelCaseRule.checkViolation(CamelCaseRule.java:79)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
PAC Control REST API | https://api.apis.guru/v2/specs/opto22.com/pac/R1.0a/swagger.json
 | b'Tem 06, 2025 2:35:43 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 2:35:43 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 2:35:43 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 2:35:44 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 06, 2025 2:35:44 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 06, 2025 2:35:44 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 06, 2025 2:35:44 \xd6S cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 06, 2025 2:35:44 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 06, 2025 2:35:44 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 06, 2025 2:35:44 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 06, 2025 2:35:44 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 06, 2025 2:35:44 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3509)\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.Utility.split(Utility.java:204)\r\n\tat cli.rule.Utility.splitContiguousWords(Utility.java:163)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolationsFromPathSegments(VerbPhraseRule.java:139)\r\n\tat cli.rule.rules.VerbPhraseRule.lambda$getLstViolations$0(VerbPhraseRule.java:112)\r\n\tat cli.rule.rules.VerbPhraseRule$$Lambda/0x000001d9423c0b50.accept(Unknown Source)\r\n\tat java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:987)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolations(VerbPhraseRule.java:101)\r\n\tat cli.rule.rules.VerbPhraseRule.checkViolation(VerbPhraseRule.java:89)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
---------------------------------------------------
total APIs failed to read: 6
---------------------------------------------------
total APIs skipped because of file size: 38
---------------------------------------------------
total Violations found: 182608
